name,pos,cap_hit,cap_percent,season,team
Carson Palmer,QB,18375000,11.56,2016,Arizona Cardinals
Larry Fitzgerald,WR,16850000,9.42,2018,Arizona Cardinals
Larry Fitzgerald,WR,15850000,9.97,2016,Arizona Cardinals
Larry Fitzgerald,WR,15850000,9.22,2017,Arizona Cardinals
Chandler Jones,DE,15500000,8.67,2018,Arizona Cardinals
Calais Campbell,DE,15250000,9.59,2016,Arizona Cardinals
Patrick Peterson,CB,14956965,8.37,2018,Arizona Cardinals
Chandler Jones,OLB,14833333,7.66,2019,Arizona Cardinals
Patrick Peterson,CB,14791491,9.96,2015,Arizona Cardinals
Calais Campbell,DE,14750000,9.93,2015,Arizona Cardinals
Patrick Peterson,CB,13706965,7.98,2017,Arizona Cardinals
Patrick Peterson,CB,13184588,6.71,2020,Arizona Cardinals
Carson Palmer,QB,13000000,9.57,2014,Arizona Cardinals
Larry Fitzgerald,WR,11750000,6.07,2019,Arizona Cardinals
Larry Fitzgerald,WR,11656250,5.93,2020,Arizona Cardinals
Calais Campbell,DE,11250000,8.28,2014,Arizona Cardinals
Larry Fitzgerald,WR,10850000,7.31,2015,Arizona Cardinals
Patrick Peterson,CB,10534024,6.63,2016,Arizona Cardinals
Jordan Hicks,ILB,10500000,5.34,2020,Arizona Cardinals
Justin Pugh,G,10421875,5.3,2020,Arizona Cardinals
Chandler Jones,OLB,10000000,5.82,2017,Arizona Cardinals
David Johnson,RB,9656250,4.99,2019,Arizona Cardinals
D.J. Humphries,LT,9625000,4.97,2019,Arizona Cardinals
Deone Bucannon,OLB,8718000,4.88,2018,Arizona Cardinals
Larry Fitzgerald,WR,8600000,6.33,2014,Arizona Cardinals
Jared Veldheer,RT,8500000,5.72,2015,Arizona Cardinals
Kenyan Drake,RB,8483000,4.32,2020,Arizona Cardinals
Tyrann Mathieu,FS,8100000,4.71,2017,Arizona Cardinals
Kyler Murray,QB,8080601,4.11,2020,Arizona Cardinals
Patrick Peterson,CB,8002235,4.13,2019,Arizona Cardinals
Chandler Jones,OLB,7799000,4.91,2016,Arizona Cardinals
Justin Pugh,G,7750000,4,2019,Arizona Cardinals
Carson Palmer,QB,7375000,4.97,2015,Arizona Cardinals
Jermaine Gresham,TE,7218750,4.04,2018,Arizona Cardinals
DeAndre Hopkins,WR,7000000,3.56,2020,Arizona Cardinals
Patrick Peterson,CB,6937132,5.11,2014,Arizona Cardinals
Mike Iupati,G,6700000,4.51,2015,Arizona Cardinals
J.R. Sweezy,G,6406250,3.26,2020,Arizona Cardinals
Jordan Hicks,ILB,6400000,3.31,2019,Arizona Cardinals
Kyler Murray,QB,6392481,3.3,2019,Arizona Cardinals
D.J. Humphries,LT,5740000,2.92,2020,Arizona Cardinals
