SEASON,NAME,ABBR,PLAYOFFS_STAT,CONFERENCE,DIVISION,W,L,T,PCT,PF,PA,NET_PTS,HOME,ROAD,DIV,DIV_PCT,CONF,CONF_PCT,NON_CONF,STRK,LAST_5
2020,Kansas City Chiefs,KC,xz*,AFC,West,14,2,0,0.875,473,362,111,6/2/00,8 - 0 - 0,4/2/00,0.667,10/2/00,0.833,4 - 0 - 0,1L,4/1/00
2020,Buffalo Bills,BUF,xz,AFC,East,13,3,0,0.813,501,375,126,7/1/00,6/2/00,6 - 0 - 0,1,10/2/00,0.833,3/1/00,6W,5 - 0 - 0
2020,Green Bay Packers,GB,xz*,NFC,North,13,3,0,0.813,509,369,140,7/1/00,6/2/00,5/1/00,0.833,10/2/00,0.833,3/1/00,6W,5 - 0 - 0
2020,New Orleans Saints,NO,xz,NFC,South,12,4,0,0.75,482,337,145,6/2/00,6/2/00,6 - 0 - 0,1,10/2/00,0.833,2/2/00,2W,3/2/00
2020,Pittsburgh Steelers,PIT,xz,AFC,North,12,4,0,0.75,416,312,104,7/1/00,5/3/00,4/2/00,0.667,9/3/00,0.75,3/1/00,1L,1/4/00
2020,Seattle Seahawks,SEA,xz,NFC,West,12,4,0,0.75,459,371,88,7/1/00,5/3/00,4/2/00,0.667,9/3/00,0.75,3/1/00,4W,4/1/00
2020,Baltimore Ravens,BAL,xy,AFC,North,11,5,0,0.688,468,303,165,5/3/00,6/2/00,4/2/00,0.667,7/5/00,0.583,4 - 0 - 0,5W,5 - 0 - 0
2020,Cleveland Browns,CLE,xy,AFC,North,11,5,0,0.688,408,419,-11,6/2/00,5/3/00,3/3/00,0.5,7/5/00,0.583,4 - 0 - 0,1W,3/2/00
2020,Indianapolis Colts,IND,xy,AFC,South,11,5,0,0.688,451,362,89,6/2/00,5/3/00,4/2/00,0.667,7/5/00,0.583,4 - 0 - 0,1W,4/1/00
2020,Tampa Bay Buccaneers,TB,xy,NFC,South,11,5,0,0.688,492,355,137,5/3/00,6/2/00,4/2/00,0.667,8/4/00,0.667,3/1/00,4W,4/1/00
2020,Tennessee Titans,TEN,xz,AFC,South,11,5,0,0.688,491,439,52,5/3/00,6/2/00,5/1/00,0.833,8/4/00,0.667,3/1/00,1W,3/2/00
2020,Los Angeles Rams,LAR,xy,NFC,West,10,6,0,0.625,372,296,76,6/2/00,4/4/00,3/3/00,0.5,9/3/00,0.75,1/3/00,1W,3/2/00
2020,Miami Dolphins,MIA,,AFC,East,10,6,0,0.625,404,338,66,5/3/00,5/3/00,3/3/00,0.5,7/5/00,0.583,3/1/00,1L,3/2/00
2020,Arizona Cardinals,ARI,,NFC,West,8,8,0,0.5,410,367,43,4/4/00,4/4/00,2/4/00,0.333,6/6/00,0.5,2/2/00,2L,2/3/00
2020,Chicago Bears,CHI,xy,NFC,North,8,8,0,0.5,372,370,2,3/5/00,5/3/00,2/4/00,0.333,6/6/00,0.5,2/2/00,1L,3/2/00
2020,Las Vegas Raiders,LV,,AFC,West,8,8,0,0.5,434,478,-44,2/6/00,6/2/00,4/2/00,0.667,6/6/00,0.5,2/2/00,1W,2/3/00
2020,Los Angeles Chargers,LAC,,AFC,West,7,9,0,0.438,384,426,-42,4/4/00,3/5/00,3/3/00,0.5,6/6/00,0.5,1/3/00,4W,4/1/00
2020,Minnesota Vikings,MIN,,NFC,North,7,9,0,0.438,430,475,-45,3/5/00,4/4/00,4/2/00,0.667,5/7/00,0.417,2/2/00,1W,2/3/00
2020,New England Patriots,NE,,AFC,East,7,9,0,0.438,326,353,-27,5/3/00,2/6/00,3/3/00,0.5,6/6/00,0.5,1/3/00,1W,2/3/00
2020,Washington Football Team,WAS,xz,NFC,East,7,9,0,0.438,335,329,6,3/5/00,4/4/00,4/2/00,0.667,5/7/00,0.417,2/2/00,1W,3/2/00
2020,Dallas Cowboys,DAL,,NFC,East,6,10,0,0.375,395,473,-78,4/4/00,2/6/00,2/4/00,0.333,5/7/00,0.417,1/3/00,1L,3/2/00
2020,New York Giants,NYG,,NFC,East,6,10,0,0.375,280,357,-77,3/5/00,3/5/00,4/2/00,0.667,5/7/00,0.417,1/3/00,1W,2/3/00
2020,San Francisco 49ers,SF,,NFC,West,6,10,0,0.375,376,390,-14,1/7/00,5/3/00,3/3/00,0.5,4/8/00,0.333,2/2/00,1L,1/4/00
2020,Carolina Panthers,CAR,,NFC,South,5,11,0,0.313,350,402,-52,2/6/00,3/5/00,1/5/00,0.167,4/8/00,0.333,1/3/00,1L,1/4/00
2020,Denver Broncos,DEN,,AFC,West,5,11,0,0.313,323,446,-123,2/6/00,3/5/00,1/5/00,0.167,4/8/00,0.333,1/3/00,3L,1/4/00
2020,Detroit Lions,DET,,NFC,North,5,11,0,0.313,377,519,-142,1/7/00,4/4/00,1/5/00,0.167,4/8/00,0.333,1/3/00,4L,1/4/00
2020,Cincinnati Bengals,CIN,,AFC,North,4,11,1,0.281,311,424,-113,3/5/00,1/6/01,1/5/00,0.167,4/8/00,0.333,0 - 3 - 1,1L,2/3/00
